,1,3,0,2
model,Random Forest,Tuned Random Forest,Logistic Regression SMOTE,Gradient Boosting
accuracy,0.7888333333333334,0.7863333333333333,0.6873333333333334,0.8188333333333333
precision,0.5163584637268848,0.510786360473208,0.3764809126810004,0.6569444444444444
recall,0.5529322162985529,0.559025133282559,0.6534653465346535,0.3602437166793602
f1_score,0.5340198602427363,0.5338181818181819,0.477728285077951,0.46532218396458436
roc_auc,0.776295975759628,0.7790473431154312,0.7291375360312614,0.7822441908401176
